"Sample ID","Biosample type","Biosample name","Tissue type","Cancer type","Region number"
"Sample_0699","Other","Endometrial stromal cell","Other","Normal","97689"
"Sample_0700","Other","Endometrial stromal cell","Other","Normal","98300"
"Sample_0701","Other","Endometrial stromal cell","Other","Normal","153811"
"Sample_0702","Other","Endometrial stromal cell","Other","Normal","115316"
"Sample_0703","Primary Cell","Natural Killer cell","Blood","Normal","17010"
"Sample_0704","Primary Cell","Natural Killer cell","Blood","Normal","17335"
"Sample_0705","Primary Cell","Natural Killer cell","Blood","Normal","25715"
"Sample_0706","Primary Cell","Cultured T cell","Blood","Normal","14656"
"Sample_0707","Primary Cell","Cultured T cell","Blood","Normal","12886"
"Sample_0708","Primary Cell","Cultured T cell","Blood","Normal","24590"
"Sample_0709","Primary Cell","Cultured T cell","Blood","Normal","14990"
"Sample_0710","Cell Line","BE2C","Other","Neuroblastoma","72086"
"Sample_0711","Cell Line","kelly","Neuron","Neuroblastoma","31216"
"Sample_0712","Cell Line","NGP","Brain","Neuroblastoma","41909"
