"Sample ID","Biosample type","Biosample name","Tissue type","Cancer type","Region number"
"Sample_0399","Tissue","Adipose","Adipose","Normal","83389"
"Sample_0400","Tissue","Adipose","Adipose","Normal","64998"
"Sample_0401","Cell Line","1346","Coronary artery smooth muscle","Coronary artery disease","120272"
"Sample_0402","Cell Line","1522","Coronary artery smooth muscle","Coronary artery disease","63246"
"Sample_0403","Cell Line","200212","Coronary artery smooth muscle","Coronary artery disease","90752"
"Sample_0404","Cell Line","2356","Coronary artery smooth muscle","Coronary artery disease","7324"
"Sample_0405","Cell Line","2510","Coronary artery smooth muscle","Coronary artery disease","123746"
"Sample_0406","Cell Line","2989","Coronary artery smooth muscle","Coronary artery disease","34601"
"Sample_0407","Cell Line","T47D","Mammary Gland","Breast cancer","5086"
"Sample_0408","Cell Line","T47D","Mammary Gland","Breast cancer","4636"
"Sample_0409","Cell Line","T47D","Mammary Gland","Breast cancer","10865"
"Sample_0410","Cell Line","T47D","Mammary Gland","Breast cancer","12625"
"Sample_0411","Cell Line","HAP1","Other","Leukemia","10376"
"Sample_0412","Cell Line","HAP1","Other","Leukemia","16996"
"Sample_0413","Cell Line","HAP1","Other","Leukemia","12623"
"Sample_0414","Cell Line","HAP1","Other","Leukemia","22770"
"Sample_0415","Cell Line","HAP1","Other","Leukemia","15432"
"Sample_0416","Cell Line","HAP1","Other","Leukemia","19786"
"Sample_0417","Cell Line","HAP1","Other","Leukemia","14665"
"Sample_0418","Cell Line","HAP1","Other","Leukemia","24550"
"Sample_0419","Cell Line","HAP1","Other","Leukemia","22284"
"Sample_0420","Cell Line","HAP1","Other","Leukemia","1934"
"Sample_0421","Cell Line","HAP1","Other","Leukemia","1950"
"Sample_0422","Cell Line","HAP1","Other","Leukemia","2859"
"Sample_0423","Stem Cell","HESC","Embryo","Normal","23176"
"Sample_0424","Stem Cell","HESC","Embryo","Normal","17874"
"Sample_0425","Stem Cell","HESC","Embryo","Normal","39152"
"Sample_0426","Stem Cell","HESC","Embryo","Normal","33136"
"Sample_0427","Stem Cell","HESC","Embryo","Normal","76776"
"Sample_0428","Stem Cell","HESC","Embryo","Normal","99049"
"Sample_0429","Stem Cell","HESC","Embryo","Normal","3940"
"Sample_0430","Stem Cell","HESC","Embryo","Normal","13122"
