transcriptclusterid,NM,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val,B
7979473,NM_016029,DHRS7,1.319793056,7.584484122,9.950893888,1.05223E-13,2.96663E-12,20.84183043
7936871,NM_000274,OAT,1.31853783,9.037837005,8.345393318,3.26684E-11,5.18804E-10,15.11958183
7894562,NA,NA,1.318489906,4.92518735,4.330351664,6.68839E-05,0.000275044,0.775592389
8162373,NM_014057,OGN,1.318456021,8.533995459,3.21226776,0.002246011,0.006170923,-2.580254119
7958000,NM_020244,CHPT1,1.318199166,8.206311306,14.1173704,1.48571E-19,2.00283E-17,34.2745498
8022914,NM_018170,RPRD1A,1.316306373,9.338016479,16.26897827,3.30482E-22,9.09426E-20,40.34313316
7966213,NM_052845,MMAB,1.315836257,7.351678076,10.56003543,1.28166E-14,4.42692E-13,22.9428984
7929047,NM_001547,IFIT2,1.313605282,5.517651535,7.026172794,4.1889E-09,4.22788E-08,10.29217941
8059783,NM_001114090,NGEF,1.311865772,6.544174954,8.351477087,3.1952E-11,5.09045E-10,15.14167334
8124166,NM_001080480,MBOAT1,1.310988362,7.920127831,7.023098108,4.2368E-09,4.26846E-08,10.2808952
7894136,NA,NA,1.310951906,8.632180901,9.913468643,1.19921E-13,3.34984E-12,20.71135025
8165672,ENST00000387429,MT-TG,1.309791789,6.435865848,3.294623815,0.00176516,0.005001238,-2.353946839
7896727,NA,NA,1.309482505,7.93761743,7.544251608,6.1776E-10,7.43657E-09,12.1936642
8166219,NM_032796,SYAP1,1.309466186,7.93906072,15.75519151,1.3524E-21,3.31109E-19,38.94524275
8179827,NM_001287593,CLIC1,1.308567572,8.846048185,11.629171,3.55301E-16,1.87487E-14,26.52093543
7953200,NM_001759,CCND2,1.307566961,11.23783455,7.621020569,4.65469E-10,5.73601E-09,12.47513196
8047784,NM_001285549,ZDBF2,1.307047528,7.793022178,12.64855977,1.33277E-17,1.04417E-15,29.79539484
8084648,NM_001622,AHSG,1.306817806,5.193679517,1.891883923,0.0640013,0.109695336,-5.6038294
8103563,NM_017631,DDX60,1.303948644,6.360509514,6.819241818,9.00317E-09,8.46593E-08,9.533135255
8153959,NM_001190458,DOCK8,1.302247871,6.203410524,8.784418012,6.64241E-12,1.2356E-10,16.70705879
8092134,NM_001130081,PLD1,1.300870864,7.527089261,6.036310779,1.60954E-07,1.15254E-06,6.679697186
8178712,NM_019105,TNXB,1.299539959,7.263223928,7.404358309,1.03525E-09,1.19111E-08,11.6804336
8179935,NM_019105,TNXB,1.299539959,7.263223928,7.404358309,1.03525E-09,1.19111E-08,11.6804336
8157524,NM_003266,TLR4,1.298132959,6.803318268,8.988770962,3.18214E-12,6.35225E-11,17.44080416
8113491,XR_427703,STARD4,1.297136159,8.485736272,5.785486264,4.0197E-07,2.65142E-06,5.776954943
8036602,NM_001398,ECH1,1.296914596,10.46490724,9.506298341,5.02418E-13,1.19152E-11,19.2819358
7980309,NM_007176,C14orf1,1.296014365,9.504204274,8.268910015,4.31817E-11,6.66275E-10,14.84165344
7913858,NM_178422,PAQR7,1.293351177,6.919812952,12.39231168,3.00406E-17,2.10139E-15,28.98508146
7996041,NM_020312,COQ9,1.293058415,9.114921315,12.58144644,1.64756E-17,1.24963E-15,29.58400062
8125919,NM_001145775,FKBP5,1.291032369,8.294950127,7.797280209,2.43239E-10,3.20631E-09,13.12072275
7992732,NM_145252,ZG16B,1.290783268,6.669341568,13.54453872,8.30615E-19,9.15794E-17,32.56104637
8127145,NM_001242828,ELOVL5,1.29015267,10.13506895,12.08758346,7.98396E-17,5.05403E-15,28.01025227
8042211,NM_006577,B3GNT2,1.289605381,7.493951448,10.57818948,1.20453E-14,4.21403E-13,23.0048419
8168604,NM_001139514,DACH2,1.289118156,5.97936846,7.181187888,2.36142E-09,2.50568E-08,10.86120813
7970681,NM_183043,RNF6,1.289060916,6.963943885,11.71267666,2.70155E-16,1.49912E-14,26.79426898
8057599,NM_001032281,TFPI,1.288918004,7.124620367,4.779190168,1.44846E-05,6.92056E-05,2.261830214
8100870,NM_014243,ADAMTS3,1.288648145,7.527435348,9.479502474,5.52437E-13,1.29545E-11,19.18725269
8152606,NM_021021,SNTB1,1.288136794,7.52624303,8.600591094,1.29175E-11,2.25427E-10,16.04409163
7940153,NM_001142519,FAM111A,1.288013757,8.222506848,10.73113187,7.15187E-15,2.64213E-13,23.52510483
7958565,NM_000431,MVK,1.286501303,7.057006242,6.037080952,1.60501E-07,1.14979E-06,6.682480328
8060988,NM_001282550,BTBD3,1.28587232,9.490463324,12.08849723,7.96045E-17,5.04874E-15,28.01319363
8050619,NM_000384,APOB,1.284557256,6.78372172,1.940690607,0.057648175,0.100434872,-5.515109271
8114455,NM_004134,HSPA9,1.284247436,10.46259585,20.44063239,9.91998E-27,9.4373E-24,50.62241812
7936966,ENST00000410697,RNU2-42P,1.283963916,5.191982362,9.367222605,8.22897E-13,1.87286E-11,18.78972093
7956031,NM_014182,ORMDL2,1.282088213,7.68868715,14.60203846,3.57562E-20,6.05006E-18,35.69154766
8018975,NM_005567,LGALS3BP,1.281412462,8.847537618,9.135538829,1.88022E-12,3.93994E-11,17.96552243
8041781,NM_001430,EPAS1,1.281119042,8.0206943,7.641891081,4.3101E-10,5.35697E-09,12.5516255
8178193,NM_019111,HLA-DRA,1.280564372,6.67180862,5.882702598,2.82126E-07,1.92027E-06,6.125937812
7900413,NM_005857,ZMPSTE24,1.279224828,8.972953335,17.53954574,1.14936E-23,4.45003E-21,43.66928372
7964360,NM_001178078,STAT6,1.279203994,7.793721782,13.32981152,1.60036E-18,1.63022E-16,31.90779346
8154531,NM_017925,DENND4C,1.278402741,8.748695705,12.63913991,1.37298E-17,1.07315E-15,29.76575975
7968789,NM_014059,RGCC,1.278075947,7.118300501,5.192977823,3.3881E-06,1.85366E-05,3.681945524
7939465,NM_016142,HSD17B12,1.276788742,8.93447118,11.72398899,2.6033E-16,1.44953E-14,26.83122737
8036808,NM_001005354,PRR13,1.272716972,8.216861115,12.25214098,4.70253E-17,3.17607E-15,28.53818511
8142622,NM_198085,RNF148,1.271438138,5.474513973,11.31462206,1.00519E-15,4.64215E-14,25.48326705
8050427,NM_030797,FAM49A,1.271341463,6.921734365,7.036528248,4.03152E-09,4.08514E-08,10.33018523
7981984,NR_003333,SNORD116-18,1.269200244,3.642878722,3.987886242,0.000206427,0.000752919,-0.311312869
7946228,NM_000391,TPP1,1.267940064,7.910842583,12.02395769,9.80639E-17,6.01332E-15,27.8051784
8137526,NM_005542,INSIG1,1.267764847,8.037570189,4.538202552,3.31565E-05,0.000146401,1.455945782
8117458,NM_001145008,BTN3A1,1.267739044,6.799825565,9.423346801,6.74167E-13,1.56104E-11,18.98858971
8059905,NM_004369,COL6A3,1.266005433,9.498789126,4.053535396,0.000166827,0.000621762,-0.106509606
7918487,NM_024901,DENND2D,1.264887209,7.00634426,9.725423543,2.31876E-13,6.03184E-12,20.05340817
8151296,NM_016027,LACTB2,1.264686005,5.483285263,10.48366539,1.66479E-14,5.62765E-13,22.6818799
8148059,NM_022783,DEPTOR,1.263779522,7.805033434,6.333087764,5.41416E-08,4.27133E-07,7.756340291
8038505,NM_001135163,SIGLEC11,1.262618659,6.837909669,11.35715164,8.72695E-16,4.08694E-14,25.62431103
8038967,NM_001105549,ZNF83,1.262176635,9.17908418,11.0889591,2.13614E-15,9.07232E-14,24.73103144
7954185,NM_015954,DERA,1.260828996,7.696949028,14.00197669,2.09446E-19,2.70307E-17,33.93277062
8129666,NM_145176,SLC2A12,1.259035012,5.7532984,6.891924942,6.88166E-09,6.63208E-08,9.79963485
8180377,NA,NA,1.258890498,8.905497581,7.459954233,8.43149E-10,9.86726E-09,11.88444181
8033362,NM_000208,INSR,1.258366097,8.548434433,10.2557487,3.64874E-14,1.13544E-12,21.89876362
8092169,NM_001190942,TNFSF10,1.258223335,5.550977443,6.120202075,1.18364E-07,8.69631E-07,6.983211017
8137257,NM_001199577,GIMAP1-GIMAP5,1.257843951,6.519881746,8.615682649,1.22298E-11,2.14776E-10,16.09861759
7978331,NM_001039771,CBLN3,1.257835404,6.772445913,9.539392646,4.46894E-13,1.08063E-11,19.39877263
8142912,NM_032842,TMEM209,1.257711386,8.557643492,18.61968756,7.55717E-25,4.33847E-22,46.35774552
8009241,NR_004380,SNORD104,1.256487721,8.756629943,6.576114677,2.21038E-08,1.89688E-07,8.643029752
7896239,NA,NA,1.255773145,6.065557033,5.087985161,4.91444E-06,2.59791E-05,3.317723736
7995714,NM_001043,SLC6A2,1.255671778,5.925487801,9.96767582,9.92356E-14,2.81212E-12,20.90028847
8113039,NM_001131005,MEF2C,1.255126693,9.151775508,7.012259873,4.41005E-09,4.42172E-08,10.24111953
7896633,NA,NA,1.254200966,5.606065182,4.968365606,7.48796E-06,3.80884E-05,2.905854135
8125059,NM_001287593,CLIC1,1.253694809,8.762043719,11.47540945,5.89786E-16,2.918E-14,26.01527996
7955810,NM_001005354,PRR13,1.253654358,8.237903004,12.13465008,6.8598E-17,4.43516E-15,28.16161324
8151967,NM_001256312,STK3,1.253093987,7.706645968,9.499511931,5.14637E-13,1.21704E-11,19.25796299
8103834,NM_000027,AGA,1.25247241,6.89586286,10.0191293,8.29374E-14,2.39512E-12,21.07932373
8019250,NM_000918,P4HB,1.249441801,10.5755,8.726631697,8.18453E-12,1.49081E-10,16.49894099
8136095,NM_001130720,AHCYL2,1.249023251,8.239193349,11.45884856,6.22986E-16,3.05502E-14,25.96063658
7976830,NR_029841,MIR299,1.248801409,4.623409449,6.754332679,1.14443E-08,1.0527E-07,9.295273228
8133070,NA,NA,1.248568883,8.058631163,6.737826002,1.21641E-08,1.11302E-07,9.23480688
7979743,NM_001252650,RDH11,1.248268022,8.63987618,10.26183869,3.57275E-14,1.11701E-12,21.9197684
7906652,NM_001185092,NIT1,1.247752481,7.909794935,17.0343231,4.2794E-23,1.45399E-20,42.36850004
8057719,NM_014362,HIBCH,1.247233652,8.761790234,12.89716043,6.10721E-18,5.22755E-16,30.57328995
7927082,NR_003086,HSD17B7P2,1.246032084,7.46680348,6.841058606,8.30555E-09,7.86547E-08,9.613113336
7930894,NM_005308,GRK5,1.245176982,8.134237142,6.367709642,4.76625E-08,3.81332E-07,7.882421939
8139640,NM_000790,DDC,1.244944785,6.692231472,5.275272766,2.52786E-06,1.41844E-05,3.969086844
7969488,NM_006493,CLN5,1.244724795,6.600965557,14.62232552,3.37079E-20,5.78543E-18,35.75021208
7924092,NM_021194,SLC30A1,1.244001743,7.57965741,13.61854801,6.63468E-19,7.64126E-17,32.78481272
8054769,AY427952,PS1TP4,1.243792665,7.647740554,11.53735008,4.80699E-16,2.40689E-14,26.21934284
7995803,NR_036677,MT1JP,1.243418066,5.53553912,8.679936592,9.69058E-12,1.73291E-10,16.3305736
8143772,NM_002889,RARRES2,1.241289603,8.096391476,8.940174896,3.78943E-12,7.42189E-11,17.26664074
7892682,NA,NA,1.241201042,7.414425327,4.354550113,6.16768E-05,0.000255907,0.854045489
8076515,NM_001142293,ARFGAP3,1.240672012,8.008908534,15.41421012,3.50375E-21,7.77761E-19,38.00010378
8146115,NM_020130,C8orf4,1.237836913,5.696598658,10.8421005,4.90834E-15,1.90038E-13,23.90078855
8029278,ENST00000517239,RNU4-60P,1.236456313,5.366888463,6.977089846,5.02257E-09,4.98173E-08,10.1120599
7895283,NA,NA,1.23558476,7.937755389,10.77315333,6.2006E-15,2.31979E-13,23.66754708
8089040,NM_001042533,MINA,1.234790758,6.502593982,11.1468311,1.75957E-15,7.64861E-14,24.9245606
8053406,NM_017750,RETSAT,1.234496578,7.318002259,7.885766241,1.75699E-10,2.38883E-09,13.44440299
8142194,NM_002291,LAMB1,1.232521304,10.1201345,5.789685306,3.95878E-07,2.61539E-06,5.792002831
7996012,NM_012106,ARL2BP,1.231670616,9.131401609,14.65314448,3.08215E-20,5.37311E-18,35.8392328
8078300,NM_017897,OXSM,1.229943934,6.597174087,15.95360402,7.8204E-22,2.01857E-19,39.48878158
8156228,NM_001257971,CTSL,1.229535282,8.806013321,8.901113709,4.36128E-12,8.44288E-11,17.12650036
8061653,NM_080625,CCM2L,1.227851936,7.22323921,11.56614343,4.37177E-16,2.2292E-14,26.31403391
7984263,NM_016395,PTPLAD1,1.227771398,9.615844985,16.48563732,1.84068E-22,5.3295E-20,40.92331859
8020110,NM_006868,RAB31,1.225049249,8.257864863,9.543260779,4.40822E-13,1.06827E-11,19.41242139
7894661,NA,NA,1.223970186,9.721699399,9.145247727,1.81603E-12,3.81745E-11,18.00016372
8174076,NM_000169,GLA,1.223114858,7.084236406,14.48329958,5.0552E-20,8.05373E-18,35.34714909
8168622,NM_019117,KLHL4,1.22199039,7.602681209,6.745743311,1.18134E-08,1.08391E-07,9.263807893
7902861,NM_001134476,LRRC8B,1.221069252,7.300645164,10.64836136,9.47959E-15,3.41974E-13,23.24389953
7998722,NR_002736,SNORD60,1.220484043,7.12443371,5.849008007,3.18992E-07,2.14544E-06,6.004844458
8043502,NA,NA,1.220160842,4.249162968,4.331340033,6.66631E-05,0.000274272,0.778792716
8122013,NM_001007102,L3MBTL3,1.220038222,8.250985946,7.676031672,3.80068E-10,4.79906E-09,12.6767288
8038213,NM_016246,HSD17B14,1.219012094,6.825610493,8.969245047,3.41339E-12,6.74915E-11,17.37085016
8094599,NM_016531,KLF3,1.217562092,8.476252318,10.49544612,1.59888E-14,5.42139E-13,22.72219003
8172035,U02556,DYNLT3,1.216330651,7.564868004,14.13880739,1.39415E-19,1.9025E-17,34.33785534
8148070,NM_021110,COL14A1,1.215855448,8.951316349,4.469095507,4.19264E-05,0.000180973,1.22814209
8129497,NM_001135554,EPB41L2,1.214943817,9.271104775,6.956683493,5.41624E-09,5.33091E-08,10.03718651
8154363,NM_001029,RPS26,1.214716293,8.732194117,7.911936678,1.59596E-10,2.18686E-09,13.54007209
7895998,NA,NA,1.214622318,4.618266762,6.846700949,8.13409E-09,7.71187E-08,9.633799807
7971197,NM_001145353,ELF1,1.214590539,8.305707975,7.947709258,1.39953E-10,1.94248E-09,13.67079427
8150698,NM_003068,SNAI2,1.214425925,8.771459923,5.425954482,1.47429E-06,8.64858E-06,4.498336881
8091715,NM_020169,LXN,1.213649863,5.454554309,8.121445816,7.40305E-11,1.08677E-09,14.3047988
7896067,NA,NA,1.212377432,10.54215431,10.02902944,8.01261E-14,2.31996E-12,21.11373755
8056217,NA,NA,1.210278943,7.593545406,6.243196783,7.53558E-08,5.79206E-07,7.42941564
7958455,NM_003362,UNG,1.209732879,7.603910692,10.14810248,5.29695E-14,1.59181E-12,21.5267718
8150036,NM_015254,KIF13B,1.208443184,7.614213964,10.99580489,2.92135E-15,1.21438E-13,24.41862867
7921834,NM_001643,APOA2,1.208261397,6.463436244,2.035224616,0.046866426,0.084383895,-5.337727711
7920697,NM_000157,GBA,1.207951967,6.436802159,12.56737601,1.72258E-17,1.30061E-15,29.5396065
7946033,NM_000518,HBB,1.207848272,7.161776224,3.145694494,0.002722332,0.007301877,-2.760374467
8100971,NM_002704,PPBP,1.206356609,5.82121694,4.767309253,1.50933E-05,7.18562E-05,2.221703152
8156861,ENST00000525342,STX17,1.205867364,8.253253478,12.8653787,6.74494E-18,5.72924E-16,30.47429379
8121212,ENST00000602288,BDH2P1,1.204841525,7.518951918,8.963703031,3.48206E-12,6.87268E-11,17.35098908
8135587,NM_001206747,CAV2,1.20467662,7.467871449,4.805876463,1.32037E-05,6.36337E-05,2.35210386
8096919,NM_001102406,ALPK1,1.202371748,6.538012797,11.46800029,6.04413E-16,2.97766E-14,25.99083746
8085263,NM_018447,EMC3,1.201411225,8.633732401,12.05769666,8.79291E-17,5.5137E-15,27.91398925
7929750,NM_020354,ENTPD7,1.201407574,7.501867327,13.80347012,3.79591E-19,4.53019E-17,33.34082339
8091190,NM_001184,ATR,1.200563507,7.841356484,17.71986222,7.23635E-24,2.97468E-21,44.12674697
8180212,NA,NA,1.199210354,9.737736202,10.90535109,3.9632E-15,1.58419E-13,24.11424061
8137244,NM_018326,GIMAP4,1.19890869,5.920669034,8.21247053,5.30675E-11,8.05373E-10,14.63633044
7976146,NA,NA,1.19834958,3.875533911,8.121778895,7.39403E-11,1.08649E-09,14.30601279
8066258,NR_002911,SNORA71A,1.198170296,7.683272418,6.590001298,2.09993E-08,1.81332E-07,8.693800004
8019924,NM_006471,MYL12A,1.197187882,7.199599772,9.186254262,1.5684E-12,3.33577E-11,18.14637754
8007797,NM_001029,RPS26,1.197005261,10.89260645,7.21967242,2.04828E-09,2.2036E-08,11.00249453
7978123,NM_002818,PSME2,1.196960684,7.177672839,14.72850909,2.47738E-20,4.43492E-18,36.05642188
8058256,NA,NA,1.196160521,4.188323718,11.60416279,3.85748E-16,2.00379E-14,26.43890203
7982723,NM_001159508,IVD,1.195325405,8.189893856,11.18329873,1.5575E-15,6.85072E-14,25.04629394
8148580,ENST00000395172,C8orf31,1.19488767,6.359765575,9.703984963,2.5004E-13,6.44895E-12,19.97815375
8044333,NM_001205288,LIMS3L,1.194729649,9.185582754,12.20191151,5.52511E-17,3.62859E-15,28.37741515
8054519,NM_001205288,LIMS3L,1.194729649,9.185582754,12.20191151,5.52511E-17,3.62859E-15,28.37741515
7894529,NA,NA,1.194233554,7.979564432,7.348573522,1.27211E-09,1.43438E-08,11.47569008
7984298,NM_001143688,DIS3L,1.194084694,8.281355639,13.45719456,1.0838E-18,1.15295E-16,32.29604752
8036710,NM_004877,GMFG,1.193933609,7.079041366,9.380700189,7.84407E-13,1.79139E-11,18.83750568
8127107,NA,NA,1.193308281,6.687959748,5.948998713,2.21493E-07,1.54064E-06,6.364602344
