id	filename	md5	size	state
0806696e-ae4f-4dec-8a4a-c955616bd2a6	2897700d-350b-4288-8d03-53aa44a11278.wxs.aliquot_ensemble_masked.maf.gz	91aa7e7293f0cf3394ef509cc1371ed1	118742	validated
0aa4fbc1-ec6c-4376-b2c7-5e796584d234	df6491d4-98ff-4a0b-b88d-780b7ca73d11.wxs.aliquot_ensemble_masked.maf.gz	3a89a33e7d6de325a81e9840836e4e9a	315931	validated
157223aa-aab5-4522-8ff2-8104ea3561d9	e40ae18a-9f57-4069-b99f-260c93b52e9f.rna_seq.augmented_star_gene_counts.tsv	11b684d65c727ce1b971cdf37acb6ad2	4257201	validated
19523b40-a72b-47d3-acad-9720a26128ed	8c2b89a9-e994-46d9-b215-30882f4f1950.rna_seq.augmented_star_gene_counts.tsv	273c60e8e8cd3e9ffd6940bb766eb8d7	4243392	validated
2b0cc3f6-f655-432b-9858-393c4474e83a	28359c41-11ef-49fa-8492-908f1ae94f71.wxs.aliquot_ensemble_masked.maf.gz	7fa30761ca14d2faf3c0494cf079c77c	54483	validated
2fd7f864-8f3a-4299-8890-d0347ff9b074	29c9686d-6d95-48dd-890d-7b3b3b4ce4ec.rna_seq.augmented_star_gene_counts.tsv	457ae7b6f2e986b263c3f2f6b113007d	4228004	validated
375b3bd6-5e82-45ab-836d-8a9eba4979c5	37718b82-57fd-43dd-9d64-f74198e25292.wxs.aliquot_ensemble_masked.maf.gz	7756be25dedc8f585f47ab526e16439e	146685	validated
3b96d6ce-5667-4922-bca9-ae6cf720842e	881cab3e-c794-4513-919e-eb0f9bbdf6aa.wxs.aliquot_ensemble_masked.maf.gz	1eec814ae0dd8b651f68f6d1f314e432	43936	validated
3bacccce-8f3a-4e58-80fc-e9e1a24220ad	0f819290-8588-4f17-8687-b4e9a7afc70b.wxs.aliquot_ensemble_masked.maf.gz	e9fae74bf7bba106ab8a47826dd4b0de	79466	validated
670d1318-172a-46a6-b896-f4aeb497a6b8	26637939-1a76-47bf-bf4b-28e56e0281f0.wxs.aliquot_ensemble_masked.maf.gz	e22880716b355ea3b0bf9a0de522a465	124046	validated
68eb5f94-0f57-494d-b54b-e7747bd89175	e0957168-e3b6-41b0-a539-b4635e322221.wxs.aliquot_ensemble_masked.maf.gz	b76b8c8c10dc101d6eaf2214512bfb29	24877	validated
7079a45a-d00b-44f3-9b0d-8c686180966b	1ba54adc-765f-403a-8987-61f94db2a65b.rna_seq.augmented_star_gene_counts.tsv	c22797ca81cf34161df6568ef15cf833	4221087	validated
