Run Experiment Sample Subject_ID GSE131592
56 SRX5879858_SRR9104907 GSE131592_GSM3790472 GSM3790472 GSM3790472 GSE131592
57 trimmed_SRX5879890_SRR9104939 trimmed_GSE131592_GSM3790504 trimmed_GSM3790504 trimmed_GSM3790504 GSE131592
58 SRX5879822_SRR9104871 GSE131592_GSM3790436 GSM3790436 GSM3790436 GSE131592
59 SRX5879893_SRR9104942 GSE131592_GSM3790507 GSM3790507 GSM3790507 GSE131592
60 SRX5879903_SRR9104952 GSE131592_GSM3790517 GSM3790517 GSM3790517 GSE131592
61 SRX5879890_SRR9104939 GSE131592_GSM3790504 GSM3790504 GSM3790504 GSE131592
62 trimmed_SRX5879822_SRR9104871 trimmed_GSE131592_GSM3790436 trimmed_GSM3790436 trimmed_GSM3790436 GSE131592
63 SRX5879863_SRR9104912 GSE131592_GSM3790477 GSM3790477 GSM3790477 GSE131592
64 SRX5879842_SRR9104891 GSE131592_GSM3790456 GSM3790456 GSM3790456 GSE131592
65 trimmed_SRX5879906_SRR9104955 trimmed_GSE131592_GSM3790520 trimmed_GSM3790520 trimmed_GSM3790520 GSE131592
66 trimmed_SRX5879831_SRR9104880 trimmed_GSE131592_GSM3790445 trimmed_GSM3790445 trimmed_GSM3790445 GSE131592
67 SRX5879873_SRR9104922 GSE131592_GSM3790487 GSM3790487 GSM3790487 GSE131592
68 SRX5879865_SRR9104914 GSE131592_GSM3790479 GSM3790479 GSM3790479 GSE131592
69 trimmed_SRX5879894_SRR9104943 trimmed_GSE131592_GSM3790508 trimmed_GSM3790508 trimmed_GSM3790508 GSE131592
70 SRX5879896_SRR9104945 GSE131592_GSM3790510 GSM3790510 GSM3790510 GSE131592
71 SRX5879836_SRR9104885 GSE131592_GSM3790450 GSM3790450 GSM3790450 GSE131592
72 SRX5879820_SRR9104869 GSE131592_GSM3790434 GSM3790434 GSM3790434 GSE131592
73 trimmed_SRX5879839_SRR9104888 trimmed_GSE131592_GSM3790453 trimmed_GSM3790453 trimmed_GSM3790453 GSE131592
74 SRX5879821_SRR9104870 GSE131592_GSM3790435 GSM3790435 GSM3790435 GSE131592
75 trimmed_SRX5879828_SRR9104877 trimmed_GSE131592_GSM3790442 trimmed_GSM3790442 trimmed_GSM3790442 GSE131592
76 trimmed_SRX5879837_SRR9104886 trimmed_GSE131592_GSM3790451 trimmed_GSM3790451 trimmed_GSM3790451 GSE131592
77 SRX5879874_SRR9104923 GSE131592_GSM3790488 GSM3790488 GSM3790488 GSE131592
78 trimmed_SRX5879886_SRR9104935 trimmed_GSE131592_GSM3790500 trimmed_GSM3790500 trimmed_GSM3790500 GSE131592
79 trimmed_SRX5879899_SRR9104948 trimmed_GSE131592_GSM3790513 trimmed_GSM3790513 trimmed_GSM3790513 GSE131592
80 trimmed_SRX5879849_SRR9104898 trimmed_GSE131592_GSM3790463 trimmed_GSM3790463 trimmed_GSM3790463 GSE131592
81 SRX5879889_SRR9104938 GSE131592_GSM3790503 GSM3790503 GSM3790503 GSE131592
82 trimmed_SRX5879861_SRR9104910 trimmed_GSE131592_GSM3790475 trimmed_GSM3790475 trimmed_GSM3790475 GSE131592
83 SRX5879838_SRR9104887 GSE131592_GSM3790452 GSM3790452 GSM3790452 GSE131592
84 trimmed_SRX5879884_SRR9104933 trimmed_GSE131592_GSM3790498 trimmed_GSM3790498 trimmed_GSM3790498 GSE131592
85 SRX5879840_SRR9104889 GSE131592_GSM3790454 GSM3790454 GSM3790454 GSE131592
86 trimmed_SRX5879834_SRR9104883 trimmed_GSE131592_GSM3790448 trimmed_GSM3790448 trimmed_GSM3790448 GSE131592
87 trimmed_SRX5879818_SRR9104867 trimmed_GSE131592_GSM3790432 trimmed_GSM3790432 trimmed_GSM3790432 GSE131592
88 trimmed_SRX5879868_SRR9104917 trimmed_GSE131592_GSM3790482 trimmed_GSM3790482 trimmed_GSM3790482 GSE131592
89 SRX5879884_SRR9104933 GSE131592_GSM3790498 GSM3790498 GSM3790498 GSE131592
90 SRX5879908_SRR9104957 GSE131592_GSM3790522 GSM3790522 GSM3790522 GSE131592
91 trimmed_SRX5879908_SRR9104957 trimmed_GSE131592_GSM3790522 trimmed_GSM3790522 trimmed_GSM3790522 GSE131592
92 trimmed_SRX5879877_SRR9104926 trimmed_GSE131592_GSM3790491 trimmed_GSM3790491 trimmed_GSM3790491 GSE131592
93 SRX5879880_SRR9104929 GSE131592_GSM3790494 GSM3790494 GSM3790494 GSE131592
94 trimmed_SRX5879873_SRR9104922 trimmed_GSE131592_GSM3790487 trimmed_GSM3790487 trimmed_GSM3790487 GSE131592
95 trimmed_SRX5879901_SRR9104950 trimmed_GSE131592_GSM3790515 trimmed_GSM3790515 trimmed_GSM3790515 GSE131592
96 trimmed_SRX5879817_SRR9104866 trimmed_GSE131592_GSM3790431 trimmed_GSM3790431 trimmed_GSM3790431 GSE131592
97 trimmed_SRX5879892_SRR9104941 trimmed_GSE131592_GSM3790506 trimmed_GSM3790506 trimmed_GSM3790506 GSE131592
98 trimmed_SRX5879842_SRR9104891 trimmed_GSE131592_GSM3790456 trimmed_GSM3790456 trimmed_GSM3790456 GSE131592
99 trimmed_SRX5879871_SRR9104920 trimmed_GSE131592_GSM3790485 trimmed_GSM3790485 trimmed_GSM3790485 GSE131592
100 trimmed_SRX5879881_SRR9104930 trimmed_GSE131592_GSM3790495 trimmed_GSM3790495 trimmed_GSM3790495 GSE131592
101 trimmed_SRX5879870_SRR9104919 trimmed_GSE131592_GSM3790484 trimmed_GSM3790484 trimmed_GSM3790484 GSE131592
102 trimmed_SRX5879860_SRR9104909 trimmed_GSE131592_GSM3790474 trimmed_GSM3790474 trimmed_GSM3790474 GSE131592
103 trimmed_SRX5879858_SRR9104907 trimmed_GSE131592_GSM3790472 trimmed_GSM3790472 trimmed_GSM3790472 GSE131592
104 SRX5879835_SRR9104884 GSE131592_GSM3790449 GSM3790449 GSM3790449 GSE131592
105 SRX5879816_SRR9104865 GSE131592_GSM3790430 GSM3790430 GSM3790430 GSE131592
106 SRX5879876_SRR9104925 GSE131592_GSM3790490 GSM3790490 GSM3790490 GSE131592
107 SRX5879843_SRR9104892 GSE131592_GSM3790457 GSM3790457 GSM3790457 GSE131592
108 SRX5879885_SRR9104934 GSE131592_GSM3790499 GSM3790499 GSM3790499 GSE131592
109 trimmed_SRX5879835_SRR9104884 trimmed_GSE131592_GSM3790449 trimmed_GSM3790449 trimmed_GSM3790449 GSE131592
110 SRX5879883_SRR9104932 GSE131592_GSM3790497 GSM3790497 GSM3790497 GSE131592
111 trimmed_SRX5879819_SRR9104868 trimmed_GSE131592_GSM3790433 trimmed_GSM3790433 trimmed_GSM3790433 GSE131592
112 trimmed_SRX5879826_SRR9104875 trimmed_GSE131592_GSM3790440 trimmed_GSM3790440 trimmed_GSM3790440 GSE131592
113 trimmed_SRX5879876_SRR9104925 trimmed_GSE131592_GSM3790490 trimmed_GSM3790490 trimmed_GSM3790490 GSE131592
114 trimmed_SRX5879865_SRR9104914 trimmed_GSE131592_GSM3790479 trimmed_GSM3790479 trimmed_GSM3790479 GSE131592
115 SRX5879862_SRR9104911 GSE131592_GSM3790476 GSM3790476 GSM3790476 GSE131592
116 trimmed_SRX5879869_SRR9104918 trimmed_GSE131592_GSM3790483 trimmed_GSM3790483 trimmed_GSM3790483 GSE131592
117 trimmed_SRX5879855_SRR9104904 trimmed_GSE131592_GSM3790469 trimmed_GSM3790469 trimmed_GSM3790469 GSE131592
118 SRX5879907_SRR9104956 GSE131592_GSM3790521 GSM3790521 GSM3790521 GSE131592
119 trimmed_SRX5879880_SRR9104929 trimmed_GSE131592_GSM3790494 trimmed_GSM3790494 trimmed_GSM3790494 GSE131592
120 SRX5879819_SRR9104868 GSE131592_GSM3790433 GSM3790433 GSM3790433 GSE131592
121 SRX5879852_SRR9104901 GSE131592_GSM3790466 GSM3790466 GSM3790466 GSE131592
122 trimmed_SRX5879840_SRR9104889 trimmed_GSE131592_GSM3790454 trimmed_GSM3790454 trimmed_GSM3790454 GSE131592
123 SRX5879829_SRR9104878 GSE131592_GSM3790443 GSM3790443 GSM3790443 GSE131592
124 trimmed_SRX5879844_SRR9104893 trimmed_GSE131592_GSM3790458 trimmed_GSM3790458 trimmed_GSM3790458 GSE131592
125 SRX5879878_SRR9104927 GSE131592_GSM3790492 GSM3790492 GSM3790492 GSE131592
126 SRX5879815_SRR9104864 GSE131592_GSM3790429 GSM3790429 GSM3790429 GSE131592
127 SRX5879901_SRR9104950 GSE131592_GSM3790515 GSM3790515 GSM3790515 GSE131592
128 trimmed_SRX5879845_SRR9104894 trimmed_GSE131592_GSM3790459 trimmed_GSM3790459 trimmed_GSM3790459 GSE131592
129 SRX5879827_SRR9104876 GSE131592_GSM3790441 GSM3790441 GSM3790441 GSE131592
130 SRX5879886_SRR9104935 GSE131592_GSM3790500 GSM3790500 GSM3790500 GSE131592
131 SRX5879823_SRR9104872 GSE131592_GSM3790437 GSM3790437 GSM3790437 GSE131592
132 SRX5879853_SRR9104902 GSE131592_GSM3790467 GSM3790467 GSM3790467 GSE131592
133 SRX5879848_SRR9104897 GSE131592_GSM3790462 GSM3790462 GSM3790462 GSE131592
134 SRX5879882_SRR9104931 GSE131592_GSM3790496 GSM3790496 GSM3790496 GSE131592
135 SRX5879859_SRR9104908 GSE131592_GSM3790473 GSM3790473 GSM3790473 GSE131592
136 SRX5879846_SRR9104895 GSE131592_GSM3790460 GSM3790460 GSM3790460 GSE131592
137 trimmed_SRX5879900_SRR9104949 trimmed_GSE131592_GSM3790514 trimmed_GSM3790514 trimmed_GSM3790514 GSE131592
138 SRX5879839_SRR9104888 GSE131592_GSM3790453 GSM3790453 GSM3790453 GSE131592
139 SRX5879861_SRR9104910 GSE131592_GSM3790475 GSM3790475 GSM3790475 GSE131592
140 SRX5879831_SRR9104880 GSE131592_GSM3790445 GSM3790445 GSM3790445 GSE131592
141 trimmed_SRX5879829_SRR9104878 trimmed_GSE131592_GSM3790443 trimmed_GSM3790443 trimmed_GSM3790443 GSE131592
142 SRX5879832_SRR9104881 GSE131592_GSM3790446 GSM3790446 GSM3790446 GSE131592
143 trimmed_SRX5879874_SRR9104923 trimmed_GSE131592_GSM3790488 trimmed_GSM3790488 trimmed_GSM3790488 GSE131592
144 SRX5879868_SRR9104917 GSE131592_GSM3790482 GSM3790482 GSM3790482 GSE131592
145 SRX5879837_SRR9104886 GSE131592_GSM3790451 GSM3790451 GSM3790451 GSE131592
146 SRX5879898_SRR9104947 GSE131592_GSM3790512 GSM3790512 GSM3790512 GSE131592
147 SRX5879866_SRR9104915 GSE131592_GSM3790480 GSM3790480 GSM3790480 GSE131592
148 trimmed_SRX5879815_SRR9104864 trimmed_GSE131592_GSM3790429 trimmed_GSM3790429 trimmed_GSM3790429 GSE131592
149 trimmed_SRX5879851_SRR9104900 trimmed_GSE131592_GSM3790465 trimmed_GSM3790465 trimmed_GSM3790465 GSE131592
150 trimmed_SRX5879896_SRR9104945 trimmed_GSE131592_GSM3790510 trimmed_GSM3790510 trimmed_GSM3790510 GSE131592
151 trimmed_SRX5879895_SRR9104944 trimmed_GSE131592_GSM3790509 trimmed_GSM3790509 trimmed_GSM3790509 GSE131592
152 trimmed_SRX5879879_SRR9104928 trimmed_GSE131592_GSM3790493 trimmed_GSM3790493 trimmed_GSM3790493 GSE131592
153 SRX5879905_SRR9104954 GSE131592_GSM3790519 GSM3790519 GSM3790519 GSE131592
154 SRX5879864_SRR9104913 GSE131592_GSM3790478 GSM3790478 GSM3790478 GSE131592
155 trimmed_SRX5879841_SRR9104890 trimmed_GSE131592_GSM3790455 trimmed_GSM3790455 trimmed_GSM3790455 GSE131592
156 trimmed_SRX5879821_SRR9104870 trimmed_GSE131592_GSM3790435 trimmed_GSM3790435 trimmed_GSM3790435 GSE131592
157 trimmed_SRX5879816_SRR9104865 trimmed_GSE131592_GSM3790430 trimmed_GSM3790430 trimmed_GSM3790430 GSE131592
158 trimmed_SRX5879883_SRR9104932 trimmed_GSE131592_GSM3790497 trimmed_GSM3790497 trimmed_GSM3790497 GSE131592
159 trimmed_SRX5879846_SRR9104895 trimmed_GSE131592_GSM3790460 trimmed_GSM3790460 trimmed_GSM3790460 GSE131592
160 SRX5879881_SRR9104930 GSE131592_GSM3790495 GSM3790495 GSM3790495 GSE131592
161 trimmed_SRX5879856_SRR9104905 trimmed_GSE131592_GSM3790470 trimmed_GSM3790470 trimmed_GSM3790470 GSE131592
162 trimmed_SRX5879882_SRR9104931 trimmed_GSE131592_GSM3790496 trimmed_GSM3790496 trimmed_GSM3790496 GSE131592
163 SRX5879892_SRR9104941 GSE131592_GSM3790506 GSM3790506 GSM3790506 GSE131592
164 trimmed_SRX5879878_SRR9104927 trimmed_GSE131592_GSM3790492 trimmed_GSM3790492 trimmed_GSM3790492 GSE131592
165 trimmed_SRX5879814_SRR9104863 trimmed_GSE131592_GSM3790428 trimmed_GSM3790428 trimmed_GSM3790428 GSE131592
166 trimmed_SRX5879907_SRR9104956 trimmed_GSE131592_GSM3790521 trimmed_GSM3790521 trimmed_GSM3790521 GSE131592
167 trimmed_SRX5879888_SRR9104937 trimmed_GSE131592_GSM3790502 trimmed_GSM3790502 trimmed_GSM3790502 GSE131592
168 SRX5879902_SRR9104951 GSE131592_GSM3790516 GSM3790516 GSM3790516 GSE131592
169 trimmed_SRX5879875_SRR9104924 trimmed_GSE131592_GSM3790489 trimmed_GSM3790489 trimmed_GSM3790489 GSE131592
170 trimmed_SRX5879859_SRR9104908 trimmed_GSE131592_GSM3790473 trimmed_GSM3790473 trimmed_GSM3790473 GSE131592
171 SRX5879841_SRR9104890 GSE131592_GSM3790455 GSM3790455 GSM3790455 GSE131592
172 SRX5879828_SRR9104877 GSE131592_GSM3790442 GSM3790442 GSM3790442 GSE131592
173 SRX5879900_SRR9104949 GSE131592_GSM3790514 GSM3790514 GSM3790514 GSE131592
174 trimmed_SRX5879848_SRR9104897 trimmed_GSE131592_GSM3790462 trimmed_GSM3790462 trimmed_GSM3790462 GSE131592
175 SRX5879817_SRR9104866 GSE131592_GSM3790431 GSM3790431 GSM3790431 GSE131592
176 trimmed_SRX5879903_SRR9104952 trimmed_GSE131592_GSM3790517 trimmed_GSM3790517 trimmed_GSM3790517 GSE131592
177 trimmed_SRX5879905_SRR9104954 trimmed_GSE131592_GSM3790519 trimmed_GSM3790519 trimmed_GSM3790519 GSE131592
178 SRX5879899_SRR9104948 GSE131592_GSM3790513 GSM3790513 GSM3790513 GSE131592
179 trimmed_SRX5879833_SRR9104882 trimmed_GSE131592_GSM3790447 trimmed_GSM3790447 trimmed_GSM3790447 GSE131592
180 SRX5879826_SRR9104875 GSE131592_GSM3790440 GSM3790440 GSM3790440 GSE131592
181 SRX5879833_SRR9104882 GSE131592_GSM3790447 GSM3790447 GSM3790447 GSE131592
182 trimmed_SRX5879825_SRR9104874 trimmed_GSE131592_GSM3790439 trimmed_GSM3790439 trimmed_GSM3790439 GSE131592
183 SRX5879888_SRR9104937 GSE131592_GSM3790502 GSM3790502 GSM3790502 GSE131592
184 trimmed_SRX5879847_SRR9104896 trimmed_GSE131592_GSM3790461 trimmed_GSM3790461 trimmed_GSM3790461 GSE131592
185 SRX5879830_SRR9104879 GSE131592_GSM3790444 GSM3790444 GSM3790444 GSE131592
186 trimmed_SRX5879866_SRR9104915 trimmed_GSE131592_GSM3790480 trimmed_GSM3790480 trimmed_GSM3790480 GSE131592
187 trimmed_SRX5879891_SRR9104940 trimmed_GSE131592_GSM3790505 trimmed_GSM3790505 trimmed_GSM3790505 GSE131592
188 trimmed_SRX5879898_SRR9104947 trimmed_GSE131592_GSM3790512 trimmed_GSM3790512 trimmed_GSM3790512 GSE131592
189 SRX5879851_SRR9104900 GSE131592_GSM3790465 GSM3790465 GSM3790465 GSE131592
190 trimmed_SRX5879827_SRR9104876 trimmed_GSE131592_GSM3790441 trimmed_GSM3790441 trimmed_GSM3790441 GSE131592
191 SRX5879877_SRR9104926 GSE131592_GSM3790491 GSM3790491 GSM3790491 GSE131592
192 trimmed_SRX5879836_SRR9104885 trimmed_GSE131592_GSM3790450 trimmed_GSM3790450 trimmed_GSM3790450 GSE131592
193 SRX5879879_SRR9104928 GSE131592_GSM3790493 GSM3790493 GSM3790493 GSE131592
194 Run Experiment Sample Subject_ID GSE162698
195 trimmed_SRX9633810_SRR13200266 trimmed_GSE162698_GSM4957518 trimmed_GSM4957518 trimmed_GSM4957518_r2 GSE162698
196 trimmed_SRX9633810_SRR13200265 trimmed_GSE162698_GSM4957518 trimmed_GSM4957518 trimmed_GSM4957518_r1 GSE162698
197 SRX9633812_SRR13200271 GSE162698_GSM4957520 GSM4957520 GSM4957520_r1 GSE162698
198 trimmed_SRX9633809_SRR13200263 trimmed_GSE162698_GSM4957517 trimmed_GSM4957517 trimmed_GSM4957517_r2 GSE162698
199 SRX9633813_SRR13200273 GSE162698_GSM4957521 GSM4957521 GSM4957521_r1 GSE162698
200 SRX9633811_SRR13200269 GSE162698_GSM4957519 GSM4957519 GSM4957519_r2 GSE162698
201 SRX9633805_SRR13200255 GSE162698_GSM4957513 GSM4957513 GSM4957513_r2 GSE162698
202 trimmed_SRX9633814_SRR13200275 trimmed_GSE162698_GSM4957522 trimmed_GSM4957522 trimmed_GSM4957522_r1 GSE162698
203 SRX9633814_SRR13200275 GSE162698_GSM4957522 GSM4957522 GSM4957522_r1 GSE162698
204 SRX9633808_SRR13200260 GSE162698_GSM4957516 GSM4957516 GSM4957516_r1 GSE162698
205 trimmed_SRX9633811_SRR13200269 trimmed_GSE162698_GSM4957519 trimmed_GSM4957519 trimmed_GSM4957519_r2 GSE162698
206 SRX9633807_SRR13200259 GSE162698_GSM4957515 GSM4957515 GSM4957515_r2 GSE162698
207 SRX9633817_SRR13200282 GSE162698_GSM4957525 GSM4957525 GSM4957525_r2 GSE162698
208 SRX9633809_SRR13200262 GSE162698_GSM4957517 GSM4957517 GSM4957517_r1 GSE162698
209 SRX9633814_SRR13200276 GSE162698_GSM4957522 GSM4957522 GSM4957522_r2 GSE162698
210 SRX9633804_SRR13200253 GSE162698_GSM4957512 GSM4957512 GSM4957512_r2 GSE162698
211 trimmed_SRX9633812_SRR13200272 trimmed_GSE162698_GSM4957520 trimmed_GSM4957520 trimmed_GSM4957520_r2 GSE162698
